StimeSec,isrushhour,isnight,SLONCOL,SLATCOL,ELONCOL,ELATCOL,dtdis,distance,interval
42335,0,0,38,39,43,33,7.810249675906654,6916.820346334544,1346
43685,0,0,43,33,74,21,33.24154027718932,33959.229116600225,2944
46655,0,0,74,21,75,20,1.4142135623730951,3519.414198775301,704
47375,0,0,75,20,78,29,9.486832980505138,6225.177122449082,590
47975,0,0,78,29,77,29,1.0,5803.217930442923,1126
49116,0,0,77,29,101,61,40.0,31840.15881006219,1983
51126,0,0,101,61,77,24,44.10215414239989,32119.997935089985,3986
55116,0,0,77,24,78,25,1.4142135623730951,50400.663376767145,3984
2,0,1,32,8,71,29,44.294469180700204,33896.34082067259,3474
5794,0,1,85,26,76,27,9.055385138137417,8909.947881154521,765
6574,0,1,76,27,76,23,4.0,11206.099298740755,2153
8734,0,1,76,23,64,19,12.649110640673518,6973.034434660729,971
10174,0,1,60,18,59,25,7.0710678118654755,19407.94850425048,4231
26513,1,0,55,44,59,23,21.37755832643195,14034.277821084175,2294
28823,1,0,59,23,47,25,12.165525060596439,10237.731563134928,1413
30263,1,0,47,25,36,23,11.180339887498949,9332.496780432217,1324
31883,1,0,35,21,39,13,8.94427190999916,8659.656478242836,1621
33533,0,0,39,13,41,20,7.280109889280518,4547.938272453568,813
34373,0,0,41,20,37,21,4.123105625617661,2549.343094159012,421
34853,0,0,36,21,50,20,14.035668847618199,10530.539164343483,1159
36023,0,0,50,20,36,22,14.142135623730951,10354.416062461658,2535
38563,0,0,36,22,34,21,2.23606797749979,4784.691289561909,922
40913,0,0,32,21,27,30,10.295630140987,6790.399403814175,1020
41963,0,0,27,30,32,9,21.587033144922902,13885.13722089156,2329
44303,0,0,32,9,35,18,9.486832980505138,6330.393774795126,1490
45832,0,0,35,18,37,23,5.385164807134504,3013.598240785515,463
46313,0,0,37,23,56,36,23.021728866442675,14492.9268232098,4521
50954,0,0,55,36,40,29,16.55294535724685,9304.46821020075,1247
52214,0,0,40,29,42,28,2.23606797749979,1890.792289260856,528
52754,0,0,42,28,36,22,8.48528137423857,6484.178619336788,886
53655,0,0,36,22,38,20,2.8284271247461903,2345.635791285141,359
57536,0,0,34,11,49,18,16.55294535724685,12591.0362718701,1440
58991,0,0,49,18,70,28,23.259406699226016,20573.423563538403,2796
61796,0,0,69,28,34,32,35.22782990761707,20736.99901013225,3211
65017,1,0,34,32,35,18,14.035668847618199,8693.710062804066,2006
67028,1,0,35,18,32,15,4.242640687119285,2746.4825406877403,739
67778,1,0,32,15,49,20,17.72004514666935,13506.746103384628,1569
69368,1,0,49,20,61,20,12.0,12941.353730309778,1105
70478,1,0,61,20,53,20,8.0,5405.891962074163,981
71468,1,0,53,20,59,27,9.219544457292887,12308.3975776282,1919
73391,0,0,59,27,53,26,6.082762530298219,3624.880299094276,813
74232,0,0,53,26,54,21,5.0990195135927845,3452.2350259008954,1101
75341,0,0,54,21,45,20,9.055385138137417,4861.761827987503,752
76122,0,0,45,20,44,23,3.1622776601683795,3056.6805742769147,772
76902,0,0,44,23,58,21,14.142135623730951,9674.392627785564,1139
78042,0,0,58,21,59,16,5.0990195135927845,3361.200193726276,433
78492,0,0,59,16,62,20,5.0,5571.443444217935,856
79362,0,0,62,20,63,18,2.23606797749979,2281.4496810607284,681
80052,0,0,63,18,63,15,3.0,1827.0510515777185,500
